,file_path,copyright,falsePositive
32,tensorflow-master/tensorflow/python/ops/ragged/ragged_tensor_value.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
33,tensorflow-master/tensorflow/python/ops/ragged/ragged_tile_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
34,tensorflow-master/tensorflow/python/ops/ragged/ragged_dispatch.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
35,tensorflow-master/tensorflow/python/ops/ragged/ragged_array_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
36,tensorflow-master/tensorflow/python/ops/ragged/ragged_reverse_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
37,tensorflow-master/tensorflow/python/ops/ragged/ragged_where_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
38,tensorflow-master/tensorflow/python/ops/ragged/ragged_to_sparse_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
39,tensorflow-master/tensorflow/python/ops/ragged/strings_reduce_join_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
40,tensorflow-master/tensorflow/python/ops/ragged/ragged_operators_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
41,tensorflow-master/tensorflow/python/ops/ragged/ragged_from_sparse_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
42,tensorflow-master/tensorflow/python/ops/ragged/ragged_batch_gather_with_default_op.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
43,tensorflow-master/tensorflow/python/ops/ragged/ragged_batch_gather_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
44,tensorflow-master/tensorflow/python/ops/ragged/ragged_map_flat_values_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
45,tensorflow-master/tensorflow/python/ops/ragged/ragged_gather_nd_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
46,tensorflow-master/tensorflow/python/ops/ragged/ragged_segment_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
47,tensorflow-master/tensorflow/python/ops/ragged/ragged_stack_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
48,tensorflow-master/tensorflow/python/ops/ragged/ragged_range_op_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
49,tensorflow-master/tensorflow/python/ops/parallel_for/pfor.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
50,tensorflow-master/tensorflow/python/ops/parallel_for/gradients_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
51,tensorflow-master/tensorflow/python/ops/parallel_for/control_flow_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
52,tensorflow-master/tensorflow/python/ops/parallel_for/control_flow_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
53,tensorflow-master/tensorflow/python/ops/parallel_for/gradients.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
54,tensorflow-master/tensorflow/python/ops/parallel_for/array_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
55,tensorflow-master/tensorflow/python/ops/parallel_for/__init__.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
56,tensorflow-master/tensorflow/python/ops/parallel_for/math_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
57,tensorflow-master/tensorflow/python/ops/parallel_for/test_util.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
58,tensorflow-master/tensorflow/c/c_test.c,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
59,tensorflow-master/tensorflow/python/ops/parallel_for/xla_control_flow_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
60,tensorflow-master/tensorflow/c/c_api_experimental.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
61,tensorflow-master/tensorflow/c/env_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
62,tensorflow-master/tensorflow/python/ops/optional_grad.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
63,tensorflow-master/tensorflow/python/ops/cond_v2.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
64,tensorflow-master/tensorflow/python/ops/init_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
65,tensorflow-master/tensorflow/python/ops/collective_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
66,tensorflow-master/tensorflow/python/ops/list_ops.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
67,tensorflow-master/tensorflow/c/env.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
68,tensorflow-master/tensorflow/python/ops/map_fn.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
69,tensorflow-master/tensorflow/python/ops/sparse_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
70,tensorflow-master/tensorflow/python/ops/collective_ops_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
71,tensorflow-master/tensorflow/python/ops/linalg/cholesky_registrations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
72,tensorflow-master/tensorflow/python/ops/linalg/matmul_registrations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
73,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_block_diag.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
74,tensorflow-master/tensorflow/c/kernels_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
75,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_algebra.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
76,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_circulant.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
77,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_inversion.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
78,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_adjoint.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
79,tensorflow-master/tensorflow/c/eager/c_api_experimental.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
80,tensorflow-master/tensorflow/c/eager/c_api_test_util.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
81,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_kronecker.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
82,tensorflow-master/tensorflow/python/ops/linalg/inverse_registrations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
83,tensorflow-master/tensorflow/python/ops/linalg/linear_operator_zeros.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
84,tensorflow-master/tensorflow/c/eager/c_api_debug_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
85,tensorflow-master/tensorflow/c/eager/c_api_test_util.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
86,tensorflow-master/tensorflow/python/ops/control_flow_util_v2.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
87,tensorflow-master/tensorflow/c/eager/c_api_experimental.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
88,tensorflow-master/tensorflow/c/eager/c_api_debug.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
89,tensorflow-master/tensorflow/c/kernels.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
90,tensorflow-master/tensorflow/c/c_api_experimental.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
91,tensorflow-master/tensorflow/c/c_api_experimental_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
92,tensorflow-master/tensorflow/c/env.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
93,tensorflow-master/tensorflow/python/client/session_ref.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
94,tensorflow-master/tensorflow/python/client/session_ref.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
95,tensorflow-master/tensorflow/python/saved_model/signature_serialization.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
96,tensorflow-master/tensorflow/python/saved_model/load.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
97,tensorflow-master/tensorflow/python/saved_model/load_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
98,tensorflow-master/tensorflow/tsl/util/stat_summarizer_options.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
99,tensorflow-master/tensorflow/python/saved_model/function_serialization.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
100,tensorflow-master/tensorflow/tsl/util/proto/proto_utils.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
101,tensorflow-master/tensorflow/tsl/util/stats_calculator.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
102,tensorflow-master/tensorflow/python/saved_model/loader_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
103,tensorflow-master/tensorflow/tsl/util/stats_calculator_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
104,tensorflow-master/tensorflow/tsl/util/stats_calculator.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
105,tensorflow-master/tensorflow/python/saved_model/nested_structure_coder_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
106,tensorflow-master/tensorflow/python/saved_model/function_deserialization.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
107,tensorflow-master/tensorflow/python/saved_model/nested_structure_coder.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
108,tensorflow-master/tensorflow/python/saved_model/save_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
109,tensorflow-master/tensorflow/python/saved_model/model_utils/__init__.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
110,tensorflow-master/tensorflow/python/saved_model/save.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
111,tensorflow-master/tensorflow/python/eager/wrap_function_device_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
112,tensorflow-master/tensorflow/python/eager/memory_tests/memory_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
113,tensorflow-master/tensorflow/python/eager/lift_to_graph.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
114,tensorflow-master/tensorflow/python/eager/wrap_function.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
115,tensorflow-master/tensorflow/python/eager/def_function.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
116,tensorflow-master/tensorflow/python/eager/monitoring_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
117,tensorflow-master/tensorflow/python/eager/profiler_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
118,tensorflow-master/tensorflow/python/eager/remote_cluster_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
119,tensorflow-master/tensorflow/python/eager/polymorphic_function/polymorphic_function.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
120,tensorflow-master/tensorflow/python/eager/pywrap_tfe_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
121,tensorflow-master/tensorflow/python/eager/wrap_function_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
122,tensorflow-master/tensorflow/python/eager/remote_execution_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
123,tensorflow-master/tensorflow/python/framework/tensor_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
124,tensorflow-master/tensorflow/python/framework/auto_control_deps.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
125,tensorflow-master/tensorflow/python/framework/auto_control_deps_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
126,tensorflow-master/tensorflow/python/framework/kernels_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
127,tensorflow-master/tensorflow/python/framework/error_interpolation_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
128,tensorflow-master/tensorflow/python/framework/ops_enable_eager_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
129,tensorflow-master/tensorflow/python/framework/test_combinations_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
130,tensorflow-master/tensorflow/python/framework/function.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
131,tensorflow-master/tensorflow/python/framework/smart_cond.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
132,tensorflow-master/tensorflow/python/framework/kernels.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
133,tensorflow-master/tensorflow/python/framework/test_combinations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
134,tensorflow-master/tensorflow/python/framework/func_graph.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
135,tensorflow-master/tensorflow/python/framework/error_interpolation.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
136,tensorflow-master/tensorflow/python/framework/tensor_spec.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
137,tensorflow-master/tensorflow/python/framework/combinations.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
138,tensorflow-master/tensorflow/python/framework/tf2_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
139,tensorflow-master/tensorflow/tsl/cuda/cudnn_version.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
140,tensorflow-master/tensorflow/tsl/cuda/cudnn_version_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
141,tensorflow-master/tensorflow/tsl/cuda/cudnn_version.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
142,tensorflow-master/tensorflow/python/framework/smart_cond_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
143,tensorflow-master/tensorflow/python/framework/function_def_to_graph.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
144,tensorflow-master/tensorflow/python/framework/function_def_to_graph_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
145,tensorflow-master/tensorflow/tsl/profiler/rpc/profiler_service_impl.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
146,tensorflow-master/tensorflow/tsl/profiler/rpc/profiler_server.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
147,tensorflow-master/tensorflow/tsl/profiler/rpc/profiler_service_impl.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
148,tensorflow-master/tensorflow/tsl/profiler/rpc/profiler_server.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
149,tensorflow-master/tensorflow/python/checkpoint/checkpoint_view_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
150,tensorflow-master/tensorflow/python/checkpoint/functional_saver_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
151,tensorflow-master/tensorflow/python/checkpoint/trackable_view_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
152,tensorflow-master/tensorflow/python/checkpoint/save_util_v1_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
153,tensorflow-master/tensorflow/python/platform/stacktrace_handler_test.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
154,tensorflow-master/tensorflow/tsl/profiler/backends/cpu/traceme_recorder.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
155,tensorflow-master/tensorflow/tsl/profiler/backends/cpu/traceme_recorder_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
156,tensorflow-master/tensorflow/tsl/profiler/backends/cpu/traceme_recorder.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
157,tensorflow-master/tensorflow/python/keras/engine/training_arrays_v1.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
158,tensorflow-master/tensorflow/tsl/profiler/lib/profiler_session.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
159,tensorflow-master/tensorflow/python/keras/engine/training_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
160,tensorflow-master/tensorflow/tsl/profiler/lib/profiler_session.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
161,tensorflow-master/tensorflow/tsl/profiler/lib/traceme.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
162,tensorflow-master/tensorflow/tsl/framework/contraction/eigen_contraction_kernel.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
163,tensorflow-master/tensorflow/python/keras/engine/training_distributed_v1.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
164,tensorflow-master/tensorflow/tsl/framework/contraction/eigen_contraction_kernel.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
165,tensorflow-master/tensorflow/tsl/framework/metrics.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
166,tensorflow-master/tensorflow/python/keras/engine/training_utils_v1.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
167,tensorflow-master/tensorflow/python/keras/engine/training_eager_v1.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
168,tensorflow-master/tensorflow/python/keras/engine/input_spec.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
169,tensorflow-master/tensorflow/python/keras/engine/training_generator_v1.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
170,tensorflow-master/tensorflow/tsl/framework/metrics.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
171,tensorflow-master/tensorflow/python/keras/engine/base_layer_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
172,tensorflow-master/tensorflow/python/keras/engine/saving.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
173,tensorflow-master/tensorflow/tsl/platform/cloud/compute_engine_metadata_client_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
174,tensorflow-master/tensorflow/tsl/platform/cloud/compute_engine_zone_provider.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
175,tensorflow-master/tensorflow/tsl/platform/cloud/compute_engine_metadata_client.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
176,tensorflow-master/tensorflow/tsl/platform/cloud/compute_engine_metadata_client.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
177,tensorflow-master/tensorflow/tsl/platform/cloud/compute_engine_zone_provider.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
178,tensorflow-master/tensorflow/python/keras/saving/utils_v1/__init__.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
179,tensorflow-master/tensorflow/tsl/platform/cloud/compute_engine_zone_provider_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
180,tensorflow-master/tensorflow/python/keras/saving/model_config.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
181,tensorflow-master/tensorflow/tsl/platform/cloud/zone_provider.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
182,tensorflow-master/tensorflow/python/keras/saving/hdf5_format.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
183,tensorflow-master/tensorflow/python/keras/saving/saved_model/load.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
184,tensorflow-master/tensorflow/python/keras/saving/saved_model/save_impl.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
185,tensorflow-master/tensorflow/tsl/platform/dso_loader.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
186,tensorflow-master/tensorflow/python/keras/saving/saved_model/utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
187,tensorflow-master/tensorflow/tsl/platform/byte_order.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
188,tensorflow-master/tensorflow/python/keras/saving/saved_model/serialized_attributes.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
189,tensorflow-master/tensorflow/tsl/platform/null_file_system.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
190,tensorflow-master/tensorflow/python/keras/saving/saved_model/save.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
191,tensorflow-master/tensorflow/tsl/platform/file_system_helper.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
192,tensorflow-master/tensorflow/python/keras/saving/saved_model_experimental.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
193,tensorflow-master/tensorflow/tsl/platform/logger.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
194,tensorflow-master/tensorflow/tsl/platform/platform_strings_computed.h,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
195,tensorflow-master/tensorflow/python/keras/utils/tf_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
196,tensorflow-master/tensorflow/python/keras/utils/kernelized_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
197,tensorflow-master/tensorflow/python/keras/utils/vis_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
198,tensorflow-master/tensorflow/python/keras/utils/io_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
199,tensorflow-master/tensorflow/python/keras/utils/data_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
200,tensorflow-master/tensorflow/python/keras/utils/mode_keys.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
201,tensorflow-master/tensorflow/python/keras/utils/layer_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
202,tensorflow-master/tensorflow/python/keras/utils/losses_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
203,tensorflow-master/tensorflow/python/keras/utils/np_utils.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
204,tensorflow-master/tensorflow/tsl/platform/numa_test.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
205,tensorflow-master/tensorflow/tsl/platform/default/human_readable_json.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
206,tensorflow-master/tensorflow/tsl/platform/default/rocm_rocdl_path.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
207,tensorflow-master/tensorflow/tsl/platform/default/mutex.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
208,tensorflow-master/tensorflow/python/keras/optimizer_v2/adadelta.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
209,tensorflow-master/tensorflow/python/keras/optimizer_v2/optimizer_v2.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
210,tensorflow-master/tensorflow/python/keras/optimizer_v2/ftrl.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
211,tensorflow-master/tensorflow/python/keras/optimizer_v2/nadam.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
212,tensorflow-master/tensorflow/python/keras/optimizer_v2/adagrad.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
213,tensorflow-master/tensorflow/python/keras/optimizer_v2/adamax.py,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
214,tensorflow-master/tensorflow/python/keras/mixed_precision/BUILD,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
215,tensorflow-master/tensorflow/tsl/platform/logger.cc,Copyright 2018 The TensorFlow Authors. All Rights Reserved.,0
