copyright,falsePositive
Redistributions in binary form must reproduce the above copyright,1
Based on anx7808 driver obtained from chromeos with copyright:,1
The above copyright notice and this permission notice (including the,1
"THE AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER",1
IN NO EVENT SHALL THE COPYRIGHT OWNER(S) AND/OR ITS SUPPLIERS BE,1
The above copyright notice and this permission notice (including the next,1
the above copyright notice appear in all copies and that both that copyright,1
that the name of the copyright holders not be used in advertising or,1
written prior permission.  The copyright holders make no representations,1
"THE COPYRIGHT HOLDERS DISCLAIM ALL WARRANTIES WITH REGARD TO THIS SOFTWARE,",1
"EVENT SHALL THE COPYRIGHT HOLDERS BE LIABLE FOR ANY SPECIAL, INDIRECT OR",1
The above copyright notice and this permission notice shall be included in,1
"THE COPYRIGHT HOLDER(S) OR AUTHOR(S) BE LIABLE FOR ANY CLAIM, DAMAGES OR",1
"THE COPYRIGHT HOLDERS, AUTHORS AND/OR ITS SUPPLIERS BE LIABLE FOR ANY CLAIM,",1
NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT HOLDERS,1
- Redistributions of source code must retain the above copyright,1
- Redistributions in binary form must reproduce the above copyright,1
"- Redistributions of source code must retain the above copyright notice,",1
"THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS ""AS IS""",1
ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT HOLDER OR CONTRIBUTORS BE,1
"COPYRIGHT HOLDER OR CONTRIBUTORS BE LIABLE FOR ANY DIRECT,",1
see flexcop.c for copyright information,1
"Redistributions of source code must retain the above copyright notice,",1
"Redistributions in binary form must reproduce the above copyright notice,",1
and inherits all the copyrights,1
"retain the authorship, copyright and license notice.  This file is not",1
". Redistributions of source code must retain the above copyright notice, this",1
". Redistributions in binary form must reproduce the above copyright notice,",1
copyright notice below.,1
"Additional updates, Copyright:",1
See LICENSE.qla3xxx for copyright and licensing details.,1
that the above copyright notice and this permission notice appear,1
1. Redistributions of source code must retain the above copyright,1
2. Redistributions in binary form must reproduce the above copyright,1
3. Neither the names of the above-listed copyright holders nor the names,1
3. The names of the above-listed copyright holders may not be used,1
worry about locking.  This is information on,1
* 1) Redistributions of source code must retain the above copyright,1
* 2) Redistributions in binary form must reproduce the above copyright,1
"retain the authorship, copyright and license notice.  This file is not",1
the restrictions contained in a BSD-style copyright.),1
* Redistributions of source code must retain the above copyright,1
* Redistributions in binary form must reproduce the above copyright,1
THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS,1
A PARTICULAR PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT,1
copyright notice and this permission notice appear in all copies.,1
Developer's Reference Manual and used with permission.  Copyright,1
"copyright notice, this list of conditions and the following",1
NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT HOLDERS,1
See LICENSE.qla2xxx for copyright and licensing details.,1
See LICENSE.qla4xxx for copyright and licensing details.,1
* Neither the name of the above-listed copyright holders nor the,1
"THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS ""AS IS""",1
ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT HOLDERS OR CONTRIBUTORS BE,1
The above copyright notice and this permission notice shall be,1
NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT,1
without the written consent of the copyright owner.,1
The above copyright notice and this permission notice shall be included in,1
"THE COPYRIGHT HOLDER(S) OR AUTHOR(S) BE LIABLE FOR ANY CLAIM, DAMAGES OR",1
Copyrighted as follows:,1
based on drivers/usb/usb.c which had the following copyrights:,1
"THIS SOFTWARE IS PROVIDED BY THE COPYRIGHT HOLDERS AND CONTRIBUTORS ""AS",1
PURPOSE ARE DISCLAIMED. IN NO EVENT SHALL THE COPYRIGHT OWNER OR,1
|*     NOTICE TO USER:   The source code  is copyrighted under  U.S. and     *|,1
"|*     hereby granted a nonexclusive,  royalty-free copyright license to     *|",1
The only usage restriction is for the copyright notices to be retained,1
"Includes riva_hw.c from nVidia, see copyright below.",1
provided that this copyright notice is,1
"AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER",1
the above copyright notice or any other identification of the,1
The above copyright notice and this permission notice (including the,1
IN NO EVENT SHALL THE COPYRIGHT OWNER(S) AND/OR ITS SUPPLIERS BE,1
"THE COPYRIGHT HOLDERS, AUTHORS AND/OR ITS SUPPLIERS BE LIABLE FOR ANY CLAIM,",1
- Redistributions of source code must retain the above copyright,1
- Redistributions in binary form must reproduce the above copyright,1
is released under below copyrights:,1
"Copyright (C) 2002, 2004 Oracle.  All rights reserved.",0
"Copyright (C) 1992, 1993, 1994, 1995",0
"Copyright (C) 1991, 1992 Linus Torvalds",0
"Copyright (c) 2015, Intel Corporation.",0
Copyright (c) 1996-2000 Russell King.,0
Copyright (C) 1991-1998  Linus Torvalds,0
"Copyright (C) 2016 Red Hat, Inc. All Rights Reserved.",0
"Copyright (C) IBM Corporation, 2011-2015",0
"Copyright (C) 2012 Red Hat, Inc. All Rights Reserved.",0
"Copyright © 2006, Intel Corporation.",0
"Copyright (C) 2015, Linaro Ltd",0
"Copyright (C) 2003 Deep Blue Solutions Ltd, All Rights Reserved.",0
"Copyright (C) 2007-2008 Google, Inc.",0
"Copyright 2010 Red Hat, Inc.",0
"Copyright (C) 2016, ARM Ltd.",0
Copyright (C) 2007 Nick Piggin,0
Copyright (C) 2007 Novell Inc.,0
Copyright (c) 2008-2009 Atheros Communications Inc.,0
Copyright (C) 2013 ARM Ltd.,0
"copyright Adrian McMenamin, 2007",0
Copyright (c) 2014 Oleksij Rempel <linux@rempel-privat.de>.,0
which was (C) Dominik Brodowski <linux@brodo.de> 2003,0
"Copyright (C) Matt Helsley, IBM Corp. 2005",0
Copyright (C) 2005 BULL SA.,0
"Copyright (C) 2001, 2002 Andy Grover <andrew.grover@intel.com>",0
"Copyright (C) 2001, 2002 Paul Diefenbaugh <paul.s.diefenbaugh@intel.com>",0
Copyright (C) 2002 - 2004 Dominik Brodowski <linux@brodo.de>,0
Copyright (C) 2006       Denis Sadykov <denis.m.sadykov@intel.com>,0
"Copyright (c) 2011 Google, Inc.",0
Copyright(c) 2016 Intel Corporation. All rights reserved.,0
Copyright(c) 2007 - 2009 Intel Corporation. All rights reserved.,0
Copyright (C) 2015 Samsung Electronics,0
"Copyright (C) 2013, Intel Corporation",0
Copyright(C) 2011 Linaro Limited. All rights reserved.,0
Copyright Altera Corporation (C) 2014-2016. All rights reserved.,0
"Copyright 2011-2012 Calxeda, Inc.",0
Copyright (C) 2016 Samsung Electronics,0
Copyright (C) 2005-2007  Kristian Hoegsberg <krh@bitplanet.net>,0
Copyright (C) 2015 ARM Ltd.,0
Copyright (C) 2012 CERN (www.cern.ch),0
Copyright (C) 2017 DENX Software Engineering,0
Copyright (C) IBM Corporation 2016,0
Copyright (c) 2011 John Crispin <john@phrozen.org>,0
Copyright (c) 1999 Andreas Gal,0
Copyright (c) 2000-2005 Vojtech Pavlik <vojtech@suse.cz>,0
"Copyright (c) 2005 Michael Haboustak <mike-@cinci.rr.com> for Concept2, Inc",0
Copyright (c) 2006-2007 Jiri Kosina,0
Copyright (c) 2008 Jiri Slaby,0
Copyright (C) 2010 Nokia Corporation. All rights reserved.,0
"Copyright (c) 2009, Microsoft Corporation.",0
Copyright (C) ST-Ericsson 2010 - 2013,0
Copyright (C) 2010 Texas Instruments Incorporated - http://www.ti.com,0
Copyright (C) 1999-2002	Andre Hedrick <andre@linux-ide.org>,0
"Copyright (C) 2007		MontaVista Software, Inc. <source@mvista.com>",0
"Copyright (c) 2013, Intel Corporation.",0
Copyright (c) 2008 Jonathan Cameron,0
Copyright (c) 2007 Richard Purdie,0
"Copyright (C) 2007-2010 Advanced Micro Devices, Inc.",0
Copyright (C) 2011-2012 CERN (www.cern.ch),0
Copyright (C) 2014 Oleksij Rempel <linux@rempel-privat.de>,0
"Copyright (C) 2015 Samsung Electronics Co., Ltd.",0
Copyright (C) 2015 IT University of Copenhagen. All rights reserved.,0
Copyright (C) 2013-2015 Fujitsu Semiconductor Ltd.,0
Copyright (C) 2015 Linaro Ltd.,0
Copyright (C) 2013 MEN Mikroelektronik GmbH (www.men.de),0
bitmap.c two-level bitmap (C) Peter T. Breuer (ptb@ot.uc3m.es) 2003,0
"additions, Copyright (C) 2003-2004, Paul Clements, SteelEye Technology, Inc.:",0
Copyright (C) 2010 Nokia Corporation,0
Copyright (C) 2013 Jean-Jacques Hiblot <jjhiblot@traphandler.com>,0
Copyright (C) 2012 Marvell International Ltd.,0
"Copyright (C) 2010-2011 Michael Hennerich, Analog Devices Inc.",0
Copyright © 2007 Eugene Konev <ejka@openwrt.org>,0
Copyright (C) 2017 Axentia Technologies AB,0
"Copyright (c) 2015 Red Hat, Inc.",0
Copyright (C) 2013  Intel Corporation. All rights reserved.,0
Copyright (C) 2015 EMC Corporation. All Rights Reserved.,0
Copyright (C) 2016 T-Platforms. All Rights Reserved.,0
"Copyright (c) 2014, Intel Corporation.",0
Copyright (C) 2016 Broadcom,0
"@remark Copyright 2011 Advanced Micro Devices, Inc.",0
"(c) 2005,2006 Simtec Electronics",0
"Copyright (C) 2009 Intel Corporation, Yu Zhao <yu.zhao@intel.com>",0
"Copyright (C) 2011 Advanced Micro Devices,",0
Copyright (C) 2005 David Brownell,0
"Copyright (C) 2009 picoChip Designs, Ltd., Jamie Iles",0
"Copyright (C) 2010 ARM Ltd., Will Deacon <will.deacon@arm.com>",0
Copyright (C) 2013 Texas Instruments Incorporated - http://www.ti.com,0
Copyright (C) 2011-2012 ST-Ericsson SA,0
Copyright (C) 2012 NVIDIA CORPORATION. All rights reserved.,0
Copyright (C) 2005-2009   Rodolfo Giometti <giometti@linux.it>,0
Copyright (C) 2007 Sony Computer Entertainment Inc.,0
Copyright 2007 Sony Corp.,0
Copyright (C) 2010 OMICRON electronics GmbH,0
Copyright (C) 2011 Sascha Hauer <s.hauer@pengutronix.de>,0
Copyright (C) 2011-2012 Avionic Design GmbH,0
"Copyright 2005 MontaVista Software, Inc.",0
"Copyright (C) 2013 Texas Instruments, Inc.",0
"Copyright 2013 Philipp Zabel, Pengutronix",0
"Copyright (c) 2016-2017, Linaro Ltd",0
Copyright (C) 2005 Tower Technologies,0
Copyright (C) 2009 LSI Corporation.,0
Copyright(c) 2009 Intel Corporation. All rights reserved.,0
Copyright (C) 2009-2010 Magnus Damm,0
Copyright (c) 2005 Stanislaw Skowronek <skylark@linux-mips.org>,0
Copyright (c) 2014 Analog Devices Inc.,0
"Copyright (c) 2012-2015, 2017, The Linux Foundation. All rights reserved.",0
Copyright 2007  Michael Buesch <m@bues.ch>,0
"(c) Copyright 2009-2013 Datera, Inc.",0
Copyright (c) 2005  James Simmons,0
Copyright (c) 2006  Maciej W. Rozycki,0
"Copyright (c) 2015-2016, Linaro Limited",0
Copyright (C) 2013 Marvell,0
Copyright (c) 2014 Andreas Noever <andreas.noever@gmail.com>,0
"Copyright (C) 1991, 1992  Linus Torvalds",0
"Copyright (C) 1992, 1993, 1994, 1995, 1996, 1997,",0
"Copyright(C) 2005, Benedikt Spranger <b.spranger@linutronix.de>",0
"Copyright(C) 2005, Thomas Gleixner <tglx@linutronix.de>",0
"Copyright(C) 2006, Hans J. Koch <hjk@hansjkoch.de>",0
"Copyright(C) 2006, Greg Kroah-Hartman <greg@kroah.com>",0
Copyright (C) 2005-2006 Intel Corporation,0
"Copyright (C) 2012 Red Hat, Inc.  All rights reserved.",0
"Copyright 2010 Cisco Systems, Inc.  All rights reserved.",0
"Copyright (C) 2009 Red Hat, Inc.",0
"Copyright (c) 2012 Steffen Trumtrar <s.trumtrar@pengutronix.de>, Pengutronix",0
"Copyright (C) 2008-2011 Freescale Semiconductor, Inc.",0
"Copyright (C) 2006, 2007 Eugene Konev <ejka@openwrt.org>",0
"Copyright 2008 GE Intelligent Platforms Embedded Systems, Inc.",0
Copyright 2004 Motorola Inc.,0
Copyright (c) 2004 Evgeniy Polyakov <zbr@ioremap.net>,0
"(c) Copyright 1996 Alan Cox <alan@lxorguk.ukuu.org.uk>,",0
(c) Copyright 1995    Alan Cox <alan@lxorguk.ukuu.org.uk>,0
Copyright (c) 2011 Konrad Rzeszutek Wilk <konrad.wilk@oracle.com>,0
Copyright (c) 2011 Yu Ke ke.yu@intel.com,0
Copyright (C) 2007  Davide Libenzi <davidel@xmailserver.org>,0
"Copyright IBM Corporation, 2010",0
"Copyright (C) 2002, 2007 Red Hat, Inc. All Rights Reserved.",0
"Copyright 2008 Red Hat, Inc. All rights reserved.",0
Copyright 2008 Ian Kent <raven@themaw.net>,0
Copyright (C) 2007 Red Hat.  All rights reserved.,0
"Copyright (C) 2007 Red Hat, Inc. All Rights Reserved.",0
"Copyright (C) 2013 Guangliang Zhao, <lucienchao@gmail.com>",0
"Copyright (c) 2010 Novell, Inc.",0
Copyright (C) 1989 - 1997 Carnegie Mellon University,0
"sysfs is Copyright (C) 2001, 2002, 2003 Patrick Mochel",0
configfs Copyright (C) 2005 Oracle.  All rights reserved.,0
"Copyright (C) 2015, Google, Inc.",0
"Copyright (C) 2015, Motorola Mobility",0
Copyright (C) 2016 Nicolai Stange <nicstange@gmail.com>,0
"Copyright (C) Sistina Software, Inc.  1997-2003  All rights reserved.",0
"Copyright (C) 2004-2010 Red Hat, Inc.  All rights reserved.",0
Copyright (C) 1997-2004 Erez Zadok,0
Copyright (C) 2001-2004 Stony Brook University,0
Copyright (C) 2004-2007 International Business Machines Corp.,0
"Copyright (C) 2012 Red Hat, Inc.",0
Copyright (C) 2012 Jeremy Kerr <jeremy.kerr@canonical.com>,0
Copyright (c) 1999 Al Smith,0
"Portions derived from work (c) 1995,1996 Christian Vogelgsang.",0
Portions derived from IRIX header files (c) 1988 Silicon Graphics,0
"Copyright (C) 2005, 2006 IBM",0
"Copyright (C) 2008, 2009 IBM",0
"Copyright (C) 2001-2003 Andreas Gruenbacher, <agruen@suse.de>",0
"Copyright (c) 2012 Samsung Electronics Co., Ltd.",0
Copyright (C) 2016 Canonical Ltd. <seth.forshee@canonical.com>,0
"Copyright (C) Sistina Software, Inc.  1997-2003 All rights reserved.",0
"Copyright (C) 2004-2006 Red Hat, Inc.  All rights reserved.",0
Copyright 1999 Red Hat Software --- All Rights Reserved,0
Copyright © 2006  NEC Corporation,0
Copyright (C) 2006 Herbert Poetzl,0
Copyright (c) 2001-3 Patrick Mochel,0
Copyright (c) 2007 SUSE Linux Products GmbH,0
"Copyright (c) 2007, 2013 Tejun Heo <tj@kernel.org>",0
"Copyright (C) 2010, Oracle.  All rights reserved.",0
Copyright (c) 2009 Trond Myklebust <Trond.Myklebust@netapp.com>,0
Copyright (c) 2002 The Regents of the University of Michigan.,0
Copyright (C) 2006-2008 Nippon Telegraph and Telephone Corporation.,0
"Copyright 1991-2012 Unicode, Inc.  All rights reserved.  Distributed under",0
Copyright (c) 2005 Anton Altaparmakov,0
"Copyright (C) 2004, 2008 Oracle.  All rights reserved.",0
(C) 2001 Clemson University and The University of Chicago,0
Copyright (C) 2011 Novell Inc.,0
"Copyright 2012  Google, Inc.",0
Copyright (C) 2000 Linus Torvalds.,0
"Copyright © 2007 Red Hat, Inc. All Rights Reserved.",0
"Copyright (c) 2002, 2003, 2004, 2005, 2006, 2007, 2008",0
"Copyright (C) 2014 Red Hat Inc, author: Steven Rostedt <srostedt@redhat.com>",0
Copyright (C) 2006-2008 Nokia Corporation.,0
"Copyright (c) 2000-2005 Silicon Graphics, Inc.",0
"Copyright (C) 2000 - 2017, Intel Corp.",0
Copyright (C) 2012 ARM Ltd.,0
Copyright 2016 Russell King <rmk+kernel@arm.linux.org.uk>,0
"Copyright 2016-2017 Cisco Systems, Inc. and/or its affiliates. All rights reserved.",0
"Copyright (C) 2012 Texas Instruments, Inc.",0
Copyright (C) Altera Corporation 1998-2001,0
Copyright (C) 2010 NetUP Inc.,0
Copyright (C) 2010 Igor M. Liplianin <liplianin@netup.ru>,0
"Copyright 2011, Siemens AG",0
Copyright (c) 2011 Jon Smirl <jonsmirl@gmail.com>,0
"Copyright (c) 2008, Swedish Institute of Computer Science.",0
(C) 2003 - 2004	David Woodhouse,0
(C) 2003 - 2004	Dominik Brodowski,0
Copyright (c) 2010 Intel Corporation.  All rights reserved.,0
Copyright(c) 2008 Intel Corporation. All rights reserved.,0
Copyright (C) 2007 Atmel Corporation,0
Copyright (c) 2011 Yu Ke <ke.yu@intel.com>,0
Copyright (C) 2007,0
(C) Copyright 2009 Intel Corporation,0
"Copyright (c) 2011-2014 PLUMgrid, http://plumgrid.com",0
"Copyright (c) 2016,2017 Facebook",0
Copyright (C) 2000-2001 VERITAS Software Corporation.,0
Copyright (C) 2002-2004 Timesys Corporation,0
Copyright (C) 2003-2004 Amit S. Kale <amitkale@linsyssoft.com>,0
Copyright (C) 2004 Pavel Machek <pavel@ucw.cz>,0
Copyright (C) 2004-2006 Tom Rini <trini@kernel.crashing.org>,0
Copyright (C) 2004-2006 LinSysSoft Technologies Pvt. Ltd.,0
"Copyright (C) 2005-2009 Wind River Systems, Inc.",0
"Copyright (C) 2007 MontaVista Software, Inc.",0
"Copyright (C) 2008 Red Hat, Inc., Ingo Molnar <mingo@redhat.com>",0
Copyright IBM Corp. 2009,0
Copyright (C) 2016 Thomas Gleixner.,0
Copyright (C) 2016-2017 Christoph Hellwig.,0
Copyright (C) 2014 Seth Jennings <sjenning@redhat.com>,0
Copyright (C) 2014 SUSE,0
"Copyright (C) 2006,2007 Red Hat, Inc., Ingo Molnar <mingo@redhat.com>",0
"Copyright (C) 2007 Red Hat, Inc., Peter Zijlstra",0
Copyright (C) 2012 Rafael J. Wysocki <rjw@sisk.pl>,0
"Copyright IBM Corporation, 2011",0
Copyright (C) 2010 IBM Corperation,0
Copyright (C) 2006 Jens Axboe <axboe@kernel.dk>,0
"Copyright (C) 2011 - 2016, Yann Collet.",0
Copyright (C) 1996-2012 Markus F.X.J. Oberhumer <markus@oberhumer.com>,0
"Copyright (C) 1994, 1996, 1997, 1998,",0
Copyright 2002 H. Peter Anvin - All Rights Reserved,0
"Copyright (C) 2013-2016, Yann Collet.",0
"Copyright (c) 2014 Samsung Electronics Co., Ltd.",0
Copyright (c) 2008 Patrick McHardy <kaber@trash.net>,0
Copyright (C) 2008 by Eric Van Hensbergen <ericvh@gmail.com>,0
Copyright (C) 2007 by Latchesar Ionkov <lucho@ionkov.net>,0
Copyright (C) 2007-2017  B.A.T.M.A.N. contributors:,0
Copyright (c) 2013-2014 Intel Corp.,0
Copyright (c) 2017 Facebook,0
Copyright (C) ST-Ericsson AB 2010,0
Copyright (c) 2002-2017 Volkswagen Group Electronic Research,0
Copyright (c) 2010 Jiri Pirko <jpirko@redhat.com>,0
"Copyright (c) 2010, Intel Corporation.",0
"Copyright (c) 2007 University of Aberdeen, Scotland, UK",0
Copyright (c) 2005 Arnaldo Carvalho de Melo <acme@ghostprotocols.net>,0
Copyright (c) 2007 Igor Mammedov,0
Copyright (c) 2008-2009 Marvell Semiconductor,0
Copyright (c) 2013 Florian Fainelli <florian@openwrt.org>,0
Copyright 2011-2014 Autronica Fire and Security AS,0
"Copyright (C) 2007, 2008, 2009 Siemens AG",0
Copyright (c) 2015 Jamal Hadi Salim <jhs@mojatatu.com>,0
Copyright (c) 2017 Yotam Gigi <yotamg@mellanox.com>,0
"(c) Copyright Hewlett-Packard Development Company, L.P., 2006, 2008",0
"Copyright IBM Corp. 2006, 2009",0
"Copyright (c) 2008,2009,2010 Katalix Systems Ltd",0
Copyright (c) 2015 Cumulus Networks,0
Copyright (c) 2015 David Ahern <dsa@cumulusnetworks.com>,0
"Copyright 2003-2004, Instant802 Networks, Inc.",0
"Copyright 2005-2006, Devicescape Software, Inc.",0
Rewrite: Copyright (C) 2013 Linaro Ltd <ard.biesheuvel@linaro.org>,0
"Copyright Gavin Shan, IBM Corporation 2016.",0
Rusty Russell (C)2000 -- This code is GPL.,0
Patrick McHardy (c) 2006-2012,0
"(c) Copyright Hewlett-Packard Development Company, L.P., 2008",0
Copyright (C) 2011 Instituto Nokia de Tecnologia,0
"Copyright (c) 2017 Red Hat, Inc. -- Jiri Benc <jbenc@redhat.com>",0
"Copyright (c) 2007-2017 Nicira, Inc.",0
Copyright (C) 2008 Nokia Corporation.,0
"Copyright (c) 2015, Sony Mobile Communications Inc.",0
"Copyright (c) 2013, The Linux Foundation. All rights reserved.",0
Copyright (c) 2006 Oracle.  All rights reserved.,0
Copyright (C) 2006 - 2007 Ivo van Doorn,0
Copyright (C) 2007 Dmitry Torokhov,0
Copyright 2009 Johannes Berg <johannes@sipsolutions.net>,0
Copyright (c) 2015 Jiri Pirko <jiri@resnulli.us>,0
"(C) Copyright 2007 Hewlett-Packard Development Company, L.P.",0
Copyright IBM Corp. 2016,0
Copyright (c) 2016 Tom Herbert <tom@herbertland.com>,0
"Copyright 2009, Oracle.  All rights reserved.",0
Copyright (c) 2014-2015 Jiri Pirko <jiri@resnulli.us>,0
Copyright (c) 2014-2015 Scott Feldman <sfeldma@gmail.com>,0
"Copyright (c) 2000-2006, Ericsson AB",0
"Copyright (c) 2004-2005, 2010-2011, Wind River Systems",0
"Copyright (c) 2016-2017, Mellanox Technologies. All rights reserved.",0
"Copyright (c) 2016-2017, Dave Watson <davejwatson@fb.com>. All rights reserved.",0
"Copyright (C) 2007-2013 VMware, Inc. All rights reserved.",0
Copyright (C) 2007-2008 Intel Corporation <linux-wimax@intel.com>,0
Copyright (c) 2015 secunet Security Networks AG,0
Author: Copyright (C) Miguel Ojeda Sandonis,0
Copyright 2007-2009 Analog Devices Inc.,0
2004+ Copyright (c) Evgeniy Polyakov <zbr@ioremap.net>,0
Copyright (c) 2010 Alan Ott <alan@signal11.us>,0
Copyright (c) 2010 Signal 11 Software,0
"Copyright (C) IBM Corporation, 2009",0
"Copyright (c) 2010 Wind River Systems, Inc.  All Rights Reserved.",0
Copyright (C) 2010 Stefani Seibold <stefani@seibold.net>,0
Copyright (C) 2004-2007 Greg Kroah-Hartman <greg@kroah.com>,0
Copyright(c) 2012 Intel Corporation. All rights reserved.,0
Copyright(c) 2003 - 2012 Intel Corporation. All rights reserved.,0
"Copyright (C) 2011 Texas Instruments, Inc.",0
"Copyright (C) 2011 Google, Inc.",0
Copyright (c) 2012 The Chromium OS Authors <chromium-os-dev@chromium.org>,0
"Copyright (c) 2017 Covalent IO, Inc. http://covalent.io",0
"Copyright (C) 2015 Red Hat, Inc. All Rights Reserved.",0
Copyright (c) 2012-2013 David Herrmann <dh.herrmann@gmail.com>,0
"Copyright 2014 Cisco Systems, Inc. and/or its affiliates. All rights reserved.",0
"Copyright (c) 2016, NVIDIA CORPORATION. All rights reserved.",0
"(C) Copyright David Gibson <dwg@au1.ibm.com>, IBM Corporation.  2007.",0
"Copyright (C) 2006 David Gibson, IBM Corporation.",0
Copyright 2011-2016 by Emese Revfy <re.emese@gmail.com>,0
"Copyright (C) IBM Corporation, 2006",0
Copyright 2007 IBM Corp,0
Copyright (C) 1998-2008 Novell/SUSE,0
Copyright 2009-2010 Canonical Ltd.,0
Copyright (C) 2011 Intel Corporation,0
Copyright (C) 2017 Jason A. Donenfeld <Jason@zx2c4.com>. All Rights Reserved.,0
